Dataset,Modelo,Seed,k,DSEL_perc,Tempo_segundos,MAE,RMSE,R2,MAE_RARE,RMSE_RARE,RARES_TEST,PERC_RARES_TEST,P10_train,P90_train
lungcancer,DESREG-SE,2,5.0,0.5,6.863741874694824,2.1842422721598,2.8921858454818086,0.2545344132780327,4.413864973544973,4.904027708412947,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,DESREG-SE,2,5.0,0.5,6.863741874694824,2.1842422721598,2.8921858454818086,0.2545344132780327,4.413864973544973,4.904027708412947,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,DESREG-DRS,2,5.0,0.5,30.160521984100342,2.3923936329588003,3.1712163021317803,0.10375460382539081,4.729601587301587,5.26946393870849,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,DESREG-DRS,2,5.0,0.5,30.160521984100342,2.3923936329588003,3.1712163021317803,0.10375460382539081,4.729601587301587,5.26946393870849,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,DESREG-DES,2,5.0,0.5,57.570021867752075,2.220440087296182,2.9251108191741864,0.23746487177993092,4.298439548374904,4.8755780067999455,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,DESREG-DES,2,5.0,0.5,57.570021867752075,2.220440087296182,2.9251108191741864,0.23746487177993092,4.298439548374904,4.8755780067999455,21,23.595505617977526,0.8043333333333335,7.983333333333335
lungcancer,Decision Tree,3,,,0.01588749885559082,2.5660955056179766,3.6882976559571246,-0.6505707732300428,3.6415416666666665,5.1405105433053375,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,Decision Tree,3,,,0.01588749885559082,2.5660955056179766,3.6882976559571246,-0.6505707732300428,3.6415416666666665,5.1405105433053375,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,Random Forest,3,,,0.7236478328704834,2.3654930711610485,2.9050002363098635,-0.023940143255987367,3.3420045833333347,3.9447458860546596,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,Random Forest,3,,,0.7236478328704834,2.3654930711610485,2.9050002363098635,-0.023940143255987367,3.3420045833333347,3.9447458860546596,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,Bagging,3,,,0.5299017429351807,2.4041921348314608,2.9916526346858814,-0.08593681501874118,3.3839308333333356,4.021766583357855,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,Bagging,3,,,0.5299017429351807,2.4041921348314608,2.9916526346858814,-0.08593681501874118,3.3839308333333356,4.021766583357855,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,DESREG-SE,3,5.0,0.5,10.072997331619263,2.2451327215980026,2.68869344050503,0.12286831215466543,3.3663410555555564,3.7495507325549737,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,DESREG-SE,3,5.0,0.5,10.072997331619263,2.2451327215980026,2.68869344050503,0.12286831215466543,3.3663410555555564,3.7495507325549737,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,DESREG-DRS,3,5.0,0.5,50.139710664749146,2.1860971910112355,2.6923688190675175,0.12046863774378236,3.0105200000000014,3.4852549216863467,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,DESREG-DRS,3,5.0,0.5,50.139710664749146,2.1860971910112355,2.6923688190675175,0.12046863774378236,3.0105200000000014,3.4852549216863467,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,DESREG-DES,3,5.0,0.5,55.45722579956055,2.35719814638493,2.8474759705266113,0.016210096301427557,3.51236790277778,3.9515063212389756,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,DESREG-DES,3,5.0,0.5,55.45722579956055,2.35719814638493,2.8474759705266113,0.016210096301427557,3.51236790277778,3.9515063212389756,20,22.47191011235955,0.8566666666666672,8.08333333333333
lungcancer,Decision Tree,4,,,0.018660783767700195,2.658932584269662,3.524496293953561,-0.5722317199368523,3.5381547619047606,4.221706468473663,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,Decision Tree,4,,,0.018660783767700195,2.658932584269662,3.524496293953561,-0.5722317199368523,3.5381547619047606,4.221706468473663,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,Random Forest,4,,,0.5373795032501221,2.1580962546816473,2.637849997513212,0.11931088506209764,3.356345238095234,3.824210542077781,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,Random Forest,4,,,0.5373795032501221,2.1580962546816473,2.637849997513212,0.11931088506209764,3.356345238095234,3.824210542077781,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,Bagging,4,,,0.4304842948913574,2.1840941947565535,2.686219215057696,0.08671707036875886,3.5127821428571386,4.038685338354798,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,Bagging,4,,,0.4304842948913574,2.1840941947565535,2.686219215057696,0.08671707036875886,3.5127821428571386,4.038685338354798,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,DESREG-SE,4,5.0,0.5,5.259019374847412,2.0672310112359544,2.555257743285036,0.17359704102843798,3.87161333333333,4.3167647444070925,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,DESREG-SE,4,5.0,0.5,5.259019374847412,2.0672310112359544,2.555257743285036,0.17359704102843798,3.87161333333333,4.3167647444070925,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,DESREG-DRS,4,5.0,0.5,30.82555389404297,1.9801891385767783,2.61410722950199,0.13509335486350116,3.723030952380948,4.483793797056656,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,DESREG-DRS,4,5.0,0.5,30.82555389404297,1.9801891385767783,2.61410722950199,0.13509335486350116,3.723030952380948,4.483793797056656,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,DESREG-DES,4,5.0,0.5,46.37628889083862,2.09230693521626,2.5846430890472476,0.1544805585707556,3.902228016474262,4.3754963088908125,14,15.730337078651685,0.8160000000000003,8.3
lungcancer,DESREG-DES,4,5.0,0.5,46.37628889083862,2.09230693521626,2.5846430890472476,0.1544805585707556,3.902228016474262,4.3754963088908125,14,15.730337078651685,0.8160000000000003,8.3
mortgage,Decision Tree,0,,,0.012459278106689453,0.14204761904761906,0.23699809121192364,0.9944875721548871,0.25069767441860463,0.3875744489622248,43,20.476190476190474,4.19,12.154000000000002
mortgage,Decision Tree,0,,,0.012459278106689453,0.14204761904761906,0.23699809121192364,0.9944875721548871,0.25069767441860463,0.3875744489622248,43,20.476190476190474,4.19,12.154000000000002
mortgage,Random Forest,0,,,0.40907883644104004,0.09771761904761887,0.1792584583911233,0.9968463569475569,0.17221395348837207,0.27868464548286015,43,20.476190476190474,4.19,12.154000000000002
mortgage,Random Forest,0,,,0.40907883644104004,0.09771761904761887,0.1792584583911233,0.9968463569475569,0.17221395348837207,0.27868464548286015,43,20.476190476190474,4.19,12.154000000000002
